frame,t,hand,p_x,p_y,p_z,qw,qx,qy,qz,is_open,close_event,open_event,box_x,box_y,box_z,center_x,center_y,center_z,enable_squeeze,squeeze_amount,squeeze_alpha_step
0,3.99522,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
0,3.99522,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
1,4.028307,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
1,4.028307,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
2,4.047646,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
2,4.047646,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
3,4.067094,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
3,4.067094,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
4,4.087656,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
4,4.087656,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
5,4.107123,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
5,4.107123,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
6,4.127853,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
6,4.127853,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
7,4.147935,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
7,4.147935,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
8,4.17079,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
8,4.17079,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
9,4.190438,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
9,4.190438,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
10,4.209785,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
10,4.209785,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
11,4.231062,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
11,4.231062,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
12,4.250483,left,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
12,4.250483,right,0,0.2,-1,1,0,0,0,1,0,0,0.05,0.05,0.05,0,0,0,1,0.5,0.1
