node_index,x,y,z
0,4.112157E-06,4.112157E-06,0
1,0,0.035,0
2,0,0.07,0
3,0,0.105,0
4,0,0.14,0
5,0,0.175,0
6,0,0.21,0
7,0,0.245,0
8,0,0.28,0
9,0,0.315,0
10,0,0.35,0
11,0,0.385,0
12,0,0.42,0
13,0,0.455,0
14,0,0.49,0
15,0,0.525,0
16,0,0.56,0
17,0,0.595,0
18,0,0.63,0
19,0,0.665,0
20,4.111896E-06,0.6999959,0
21,0.035,0,0
22,0.03500006,0.03500006,0
23,0.035,0.07,0
24,0.035,0.105,0
25,0.035,0.14,0
26,0.035,0.175,0
27,0.035,0.21,0
28,0.035,0.245,0
29,0.035,0.28,0
30,0.035,0.315,0
31,0.035,0.35,0
32,0.035,0.385,0
33,0.035,0.42,0
34,0.035,0.455,0
35,0.035,0.49,0
36,0.035,0.525,0
37,0.035,0.56,0
38,0.035,0.595,0
39,0.035,0.63,0
40,0.03500006,0.6649999,0
41,0.035,0.7,0
42,0.07,0,0
43,0.07,0.035,0
44,0.07,0.07,0
45,0.07,0.105,0
46,0.07,0.14,0
47,0.07,0.175,0
48,0.07,0.21,0
49,0.07,0.245,0
50,0.07,0.28,0
51,0.07,0.315,0
52,0.07,0.35,0
53,0.07,0.385,0
54,0.07,0.42,0
55,0.07,0.455,0
56,0.07,0.49,0
57,0.07,0.525,0
58,0.07,0.56,0
59,0.07,0.595,0
60,0.07,0.63,0
61,0.07,0.665,0
62,0.07,0.7,0
63,0.105,0,0
64,0.105,0.035,0
65,0.105,0.07,0
66,0.105,0.105,0
67,0.105,0.14,0
68,0.105,0.175,0
69,0.105,0.21,0
70,0.105,0.245,0
71,0.105,0.28,0
72,0.105,0.315,0
73,0.105,0.35,0
74,0.105,0.385,0
75,0.105,0.42,0
76,0.105,0.455,0
77,0.105,0.49,0
78,0.105,0.525,0
79,0.105,0.56,0
80,0.105,0.595,0
81,0.105,0.63,0
82,0.105,0.665,0
83,0.105,0.7,0
84,0.14,0,0
85,0.14,0.035,0
86,0.14,0.07,0
87,0.14,0.105,0
88,0.14,0.14,0
89,0.14,0.175,0
90,0.14,0.21,0
91,0.14,0.245,0
92,0.14,0.28,0
93,0.14,0.315,0
94,0.14,0.35,0
95,0.14,0.385,0
96,0.14,0.42,0
97,0.14,0.455,0
98,0.14,0.49,0
99,0.14,0.525,0
100,0.14,0.56,0
101,0.14,0.595,0
102,0.14,0.63,0
103,0.14,0.665,0
104,0.14,0.7,0
105,0.175,0,0
106,0.175,0.035,0
107,0.175,0.07,0
108,0.175,0.105,0
109,0.175,0.14,0
110,0.175,0.175,0
111,0.175,0.21,0
112,0.175,0.245,0
113,0.175,0.28,0
114,0.175,0.315,0
115,0.175,0.35,0
116,0.175,0.385,0
117,0.175,0.42,0
118,0.175,0.455,0
119,0.175,0.49,0
120,0.175,0.525,0
121,0.175,0.56,0
122,0.175,0.595,0
123,0.175,0.63,0
124,0.175,0.665,0
125,0.175,0.7,0
126,0.21,0,0
127,0.21,0.035,0
128,0.21,0.07,0
129,0.21,0.105,0
130,0.21,0.14,0
131,0.21,0.175,0
132,0.21,0.21,0
133,0.21,0.245,0
134,0.21,0.28,0
135,0.21,0.315,0
136,0.21,0.35,0
137,0.21,0.385,0
138,0.21,0.42,0
139,0.21,0.455,0
140,0.21,0.49,0
141,0.21,0.525,0
142,0.21,0.56,0
143,0.21,0.595,0
144,0.21,0.63,0
145,0.21,0.665,0
146,0.21,0.7,0
147,0.245,0,0
148,0.245,0.035,0
149,0.245,0.07,0
150,0.245,0.105,0
