node_index,x,y,z
0,0.0001178145,0.0001178145,0
1,0.0001706614,0.05264667,0
2,0.0001838091,0.1052688,0
3,0.0001842423,0.157896,0
4,0.0001853519,0.2105266,0
5,0.0001856505,0.263158,0
6,0.0001858478,0.3157895,0
7,0.0001859137,0.368421,0
8,0.0001859396,0.4210526,0
9,0.0001859468,0.4736842,0
10,0.0001859467,0.5263158,0
11,0.0001859395,0.5789474,0
12,0.0001859137,0.6315789,0
13,0.0001858479,0.6842105,0
14,0.0001856505,0.736842,0
15,0.000185352,0.7894734,0
16,0.0001842422,0.842104,0
17,0.0001838091,0.8947312,0
18,0.0001706614,0.9473534,0
19,0.0001178145,0.9998822,0
20,0.05264667,0.0001706614,0
21,0.05264831,0.05264831,0
22,0.05265184,0.1052638,0
23,0.05265245,0.1578949,0
24,0.05265256,0.2105264,0
25,0.05265261,0.2631579,0
26,0.05265263,0.3157895,0
27,0.05265264,0.368421,0
28,0.05265264,0.4210526,0
29,0.05265264,0.4736842,0
30,0.05265264,0.5263158,0
31,0.05265264,0.5789474,0
32,0.05265264,0.6315789,0
33,0.05265263,0.6842105,0
34,0.05265261,0.7368421,0
35,0.05265256,0.7894737,0
36,0.05265245,0.8421051,0
37,0.05265184,0.8947362,0
38,0.05264831,0.9473517,0
39,0.05264667,0.9998294,0
40,0.1052688,0.0001838091,0
41,0.1052638,0.05265184,0
42,0.1052634,0.1052634,0
43,0.1052635,0.1578947,0
44,0.1052635,0.2105263,0
45,0.1052635,0.2631579,0
46,0.1052635,0.3157895,0
47,0.1052635,0.368421,0
48,0.1052635,0.4210526,0
49,0.1052635,0.4736842,0
50,0.1052635,0.5263158,0
51,0.1052635,0.5789474,0
52,0.1052635,0.6315789,0
53,0.1052635,0.6842105,0
54,0.1052635,0.7368421,0
55,0.1052635,0.7894737,0
56,0.1052635,0.8421053,0
57,0.1052634,0.8947365,0
58,0.1052638,0.9473482,0
59,0.1052688,0.9998162,0
60,0.157896,0.0001842423,0
61,0.1578949,0.05265245,0
62,0.1578947,0.1052635,0
63,0.1578947,0.1578947,0
64,0.1578947,0.2105263,0
65,0.1578947,0.2631579,0
66,0.1578947,0.3157895,0
67,0.1578947,0.368421,0
68,0.1578947,0.4210526,0
69,0.1578947,0.4736842,0
70,0.1578947,0.5263158,0
71,0.1578947,0.5789474,0
72,0.1578947,0.6315789,0
73,0.1578947,0.6842105,0
74,0.1578947,0.7368421,0
75,0.1578947,0.7894737,0
