frame,t,px,py,pz,qw,qx,qy,qz,jaw_open
0,23.86586,0,0,0,0, 1, 0, 0,1
1,23.90016,0,0,0,0, 1, 0, 0,1
2,23.93758,0,0,0,0, 1, 0, 0,1
3,23.9898,0,0,0,0, 1, 0, 0,1
4,24.03262,0,0,0,0, 1, 0, 0,1
5,24.06721,0,0,0,0, 1, 0, 0,1
6,24.1085,0,0,0,0, 1, 0, 0,1
7,24.15196,0,0,0,0, 1, 0, 0,1
8,24.18105,0,0,0,0, 1, 0, 0,1
9,24.20715,0,0,0,0, 1, 0, 0,1
10,24.24153,0,0,0,0, 1, 0, 0,1
11,24.28435,0,0,0,0, 1, 0, 0,1
12,24.33918,0,0,0,0, 1, 0, 0,1
13,24.36827,0,0,0,0, 1, 0, 0,1
14,24.40431,0,0,0,0, 1, 0, 0,1
15,24.43916,0,0,0,0, 1, 0, 0,0
16,24.51698,0,0,0,0, 1, 0, 0,0
17,24.54715,0,0,0,0, 1, 0, 0,0
18,24.57522,0,0,0,0, 1, 0, 0,0
19,24.60358,0,0,0,0, 1, 0, 0,0
20,24.63163,0,0,0,0, 1, 0, 0,0
21,24.66436,0,0,0,0, 1, 0, 0,0
22,24.69868,0,0,0,0, 1, 0, 0,0
23,24.72859,0,0,0,0, 1, 0, 0,0
24,24.75765,0,0,0,0, 1, 0, 0,0
25,24.78597,0,0,0,0, 1, 0, 0,0
26,24.81171,0,0,0,0, 1, 0, 0,0
27,24.84872,0,0,0,0, 1, 0, 0,0
28,24.87658,0,0,0,0, 1, 0, 0,0
29,24.90642,0,0,0,0, 1, 0, 0,0
30,24.94283,0,0,0,0, 1, 0, 0,0
31,24.98571,0,0,0,0, 1, 0, 0,0
32,25.01179,0,0,0,0, 1, 0, 0,0
33,25.04534,0,0,0,0, 1, 0, 0,0
34,25.09531,0,0,0,0, 1, 0, 0,0
35,25.13931,0,0,0,0, 1, 0, 0,0
36,25.18402,0,0,0,0, 1, 0, 0,0
37,25.23527,0,0,0,0, 1, 0, 0,0
38,25.26517,0,0,0,0, 1, 0, 0,0
39,25.29302,0,0,0.005570173,0, 1, 0, 0,0
40,25.32608,0,0,0.01218295,0, 1, 0, 0,0
41,25.35974,0,0,0.01891458,0, 1, 0, 0,0
42,25.39318,0,0,0.02560163,0, 1, 0, 0,0
43,25.4256,0,0,0.03208756,0, 1, 0, 0,0
44,25.46383,0,0,0.03973305,0, 1, 0, 0,0
45,25.51014,0,0,0.04899418,0, 1, 0, 0,0
46,25.54086,0,0,0.05513835,0, 1, 0, 0,0
47,25.5699,0,0,0.0609467,0, 1, 0, 0,0
48,25.60837,0,0,0.06863999,0, 1, 0, 0,0
49,25.64583,0,0,0.07613206,0, 1, 0, 0,0
50,25.6864,0,0,0.08424711,0, 1, 0, 0,0
51,25.73899,0,0,0.09476578,0, 1, 0, 0,0
52,25.76918,0,0,0.1008039,0, 1, 0, 0,0
53,25.81276,0,0,0.1095178,0, 1, 0, 0,0
54,25.84726,0,0,0.1164184,0, 1, 0, 0,0
55,25.87887,0,0,0.1227415,0, 1, 0, 0,0
56,25.9118,0,0,0.1293279,0, 1, 0, 0,0
57,25.94599,0,0,0.1361641,0, 1, 0, 0,0
58,25.9773,0,0,0.1424267,0, 1, 0, 0,0
59,26.00646,0,0,0.1482583,0, 1, 0, 0,0
60,26.0524,0,0,0.1574466,0, 1, 0, 0,0
61,26.08643,0,0,0.164253,0, 1, 0, 0,0
62,26.11931,0,0,0.1708295,0, 1, 0, 0,0
63,26.15415,0,0,0.1777973,0, 1, 0, 0,0
64,26.18715,0,0,0.1843964,0, 1, 0, 0,0
65,26.21582,0,0,0.1901305,0, 1, 0, 0,0
66,26.26025,0,0,0.1990176,0, 1, 0, 0,0
67,26.30571,0,0,0.208109,0, 1, 0, 0,0
68,26.33545,0,0,0.214056,0, 1, 0, 0,0
69,26.37912,0,0,0.2227911,0, 1, 0, 0,0
70,26.43119,0,0,0.2332056,0, 1, 0, 0,0
71,26.47316,0,0,0.2415994,0, 1, 0, 0,0
72,26.53342,0,0,0.2536519,0, 1, 0, 0,0
73,26.59296,0,0,0.2655591,0, 1, 0, 0,0
74,26.63393,0,0,0.2737538,0, 1, 0, 0,0
75,26.66832,0,0,0.2806304,0, 1, 0, 0,0
76,26.71607,0,0,0.2901809,0, 1, 0, 0,0
77,26.75544,0,0.005567193,0.2957481,0, 1, 0, 0,0
78,26.80937,0,0.01319474,0.3033757,0, 1, 0, 0,0
79,26.8601,0,0.0203694,0.3105503,0, 1, 0, 0,0
80,26.9208,0,0.0289529,0.3191339,0, 1, 0, 0,0
81,26.95931,0,0.03439977,0.3245808,0, 1, 0, 0,0
82,26.98787,0,0.03843892,0.32862,0, 1, 0, 0,0
83,27.03109,0,0.04455109,0.3347322,0, 1, 0, 0,0
84,27.08876,0,0.05270659,0.3428876,0, 1, 0, 0,0
85,27.14906,0,0.06123399,0.351415,0, 1, 0, 0,0
86,27.19282,0,0.067422,0.3576031,0, 1, 0, 0,0
87,27.24411,0,0.07467557,0.3648566,0, 1, 0, 0,0
88,27.31728,0,0.0850241,0.3752052,0, 1, 0, 0,0
89,27.38195,0,0.09416937,0.3843504,0, 1, 0, 0,0
90,27.44641,0,0.1032856,0.3934667,0, 1, 0, 0,0
91,27.48989,0,0.1094344,0.3996155,0, 1, 0, 0,0
92,27.52238,0,0.1140298,0.4042109,0, 1, 0, 0,0
93,27.55318,0,0.1183847,0.4085658,0, 1, 0, 0,0
94,27.59973,0,0.1249678,0.4151489,0, 1, 0, 0,0
95,27.64096,0,0.1307995,0.4209806,0, 1, 0, 0,0
96,27.67719,0,0.1359237,0.4261047,0, 1, 0, 0,0
97,27.70753,0,0.1402136,0.4303945,0, 1, 0, 0,0
98,27.74218,0,0.1451133,0.4352943,0, 1, 0, 0,0
99,27.77176,0,0.1492976,0.4394785,0, 1, 0, 0,0
100,27.80655,0,0.1542177,0.4443986,0, 1, 0, 0,0
101,27.86595,0,0.1626181,0.4527991,0, 1, 0, 0,0
102,27.92947,0,0.1716006,0.4617815,0, 1, 0, 0,0
103,27.98842,0,0.179937,0.4701179,0, 1, 0, 0,0
104,28.02256,0,0.1847658,0.4749467,0, 1, 0, 0,0
